AREA,"2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021","2,022","2,023"
ADD_UP,"153,142","205,790","188,249","235,504","246,702","249,867","247,714","255,615","277,750","306,150","313,535","319,123","313,003","345,728","349,538","368,125","373,411"
SEOUL,34451,42706,"57,883","48,948","51,766","50,536","48,997","49,831","53,429","58,449","59,446","57,951","55,642","57,884","58,694","61,685","61,625"
BUSAN,10525,13908,"11,123","17,062","17,812","19,328","18,047","18,625","19,918","21,503","22,306","23,032","22,661","24,778","24,888","26,077","26,129"
DAEGU,7570,9916,"8,100","11,684","12,549","12,606","12,294","12,283","13,248","14,782","14,729","15,069","14,418","16,402","16,158","17,124","17,236"
INCHEON,7327,9619,"8,200","11,396","12,175","12,653","12,700","13,402","14,709","16,082","16,618","17,378","16,994","19,186","19,115","20,848","21,129"
GWANGJU,4074,5235,"4,317","6,313","6,294","6,573","6,454","6,734","7,290","7,892","8,109","8,314","8,447","9,153","9,336","9,909","10,129"
DAEJEON,4975,6462,"5,325","6,707","6,758","7,075","6,834","7,090","7,696","8,261","8,309","8,372","8,540","9,279","9,469","10,004","10,228"
ULSAN,3747,4500,"3,633","4,481","4,913","5,102","5,128","5,223","5,874","6,714","6,949","6,683","6,516","7,410","7,336","7,869","8,102"
SEJONG,385,450,515,580,645,665,646,774,915,"1,040","1,289","1,521","1,712","1,820","2,020","2,156","2,332"
GYEONGGI,34156,46410,"36,852","51,044","52,786","53,279","53,935","56,833","63,399","71,107","73,556","76,556","76,733","88,038","89,500","93,813","96,405"
GANGWON,4281,6131,"4,975","7,270","7,585","7,408","7,986","8,190","8,991","9,584","10,057","10,253","10,117","11,143","11,300","11,912","12,028"
CHUNGBUK,4489,6199,"4,935","7,343","7,784","7,837","7,919","8,257","9,142","9,907","10,022","9,962","9,763","10,868","11,154","11,842","12,028"
CHUNGNAM,6342,9111,"6,988","10,559","11,016","10,839","11,097","11,265","12,242","13,548","13,778","14,453","13,608","15,016","15,316","16,313","16,425"
JEONBUK,5239,7937,"5,930","9,606","9,916","10,067","9,924","10,231","10,968","11,697","12,237","12,607","12,442","13,452","13,341","14,000","14,134"
JEONNAM,6365,9554,"7,042","11,002","11,574","11,430","11,315","11,582","12,429","13,477","13,351","13,880","13,209","14,585","14,712","15,477","15,688"
GYEONGBUK,8197,11985,"9,844","14,096","14,733","15,116","14,994","15,195","16,059","18,160","18,160","18,160","17,709","19,881","19,794","20,560","20,742"
GYEONGNAM,9493,13515,"10,918","14,911","15,798","16,507","16,472","17,049","18,163","20,261","20,813","20,974","20,589","22,805","23,136","24,269","24,650"
JEJU,1526,2152,"1,660","2,469","2,597","2,725","2,950","3,046","3,278","3,686","3,806","3,958","3,903","4,028","4,269","4,267","4,401"
Other,0,0,9,33,1,121,22,5,0,0,0,0,0,0,0,0,0
